timestamp,epic,direction,size,currency,entry_level,exit_level,move_points,tp_points,sl_points,pnl_eur,balance_after,notes
2025-08-13T08:56:15.124629+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24223.7,24227.4,-3.7000000000007276,5.0,15.0,-1.8500000000003638,498.14999999999964,auto
2025-08-13T08:56:15.799614+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24224.1,24227.4,-3.3000000000029104,5.0,15.0,-1.6500000000014552,496.4999999999982,auto
2025-08-13T08:56:16.535900+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24223.9,24227.4,-3.5,5.0,15.0,-1.75,494.7499999999982,auto
2025-08-13T08:56:17.222543+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24224.8,24227.4,-2.600000000002183,5.0,15.0,-1.3000000000010914,493.4499999999971,auto
2025-08-13T08:56:18.039757+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24224.8,24227.4,-2.600000000002183,5.0,15.0,-1.3000000000010914,492.149999999996,auto
2025-08-13T08:56:18.776347+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24224.8,24227.4,-2.600000000002183,5.0,15.0,-1.3000000000010914,490.8499999999949,auto
2025-08-13T08:56:19.574997+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24224.7,24227.4,-2.7000000000007276,5.0,15.0,-1.3500000000003638,489.49999999999454,auto
2025-08-13T08:56:20.285730+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24224.7,24227.4,-2.7000000000007276,5.0,15.0,-1.3500000000003638,488.1499999999942,auto
2025-08-13T08:56:21.042152+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24224.7,24227.4,-2.7000000000007276,5.0,15.0,-1.3500000000003638,486.7999999999938,auto
2025-08-13T08:56:21.764577+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24225.2,24227.4,-2.2000000000007276,5.0,15.0,-1.1000000000003638,485.69999999999345,auto
2025-08-13T08:56:22.477576+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24227.4,24227.4,0.0,5.0,15.0,0.0,485.69999999999345,auto
2025-08-13T08:56:23.218806+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24225.2,24227.4,-2.2000000000007276,5.0,15.0,-1.1000000000003638,484.5999999999931,auto
2025-08-13T08:56:23.997799+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24225.2,24227.4,-2.2000000000007276,5.0,15.0,-1.1000000000003638,483.4999999999927,auto
2025-08-13T08:56:24.909643+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24225.2,24227.4,-2.2000000000007276,5.0,15.0,-1.1000000000003638,482.39999999999236,auto
2025-08-13T08:56:25.732030+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24225.2,24227.4,-2.2000000000007276,5.0,15.0,-1.1000000000003638,481.299999999992,auto
2025-08-13T08:56:26.571205+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24225.2,24227.4,-2.2000000000007276,5.0,15.0,-1.1000000000003638,480.19999999999163,auto
2025-08-13T08:56:27.339513+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24225.2,24227.4,-2.2000000000007276,5.0,15.0,-1.1000000000003638,479.09999999999127,auto
2025-08-13T08:59:22.875026+00:00,IX.D.DAX.IFMM.IP,BUY,0.5,EUR,24230.2,24234.4,4.200000000000728,5.0,15.0,2.100000000000364,481.19999999999163,auto
2025-08-13T09:00:34.625411+00:00,IX.D.DAX.IFMM.IP,BUY,0.5,EUR,24235.4,24240.7,5.299999999999272,5.0,15.0,2.649999999999636,483.84999999999127,auto
2025-08-13T09:01:15.702378+00:00,IX.D.DAX.IFMM.IP,BUY,0.5,EUR,24233.7,24239.5,5.799999999999272,5.0,15.0,2.899999999999636,486.7499999999909,auto
2025-08-13T09:02:32.280747+00:00,IX.D.DAX.IFMM.IP,BUY,0.5,EUR,24239.7,24239.6,-0.10000000000218279,5.0,15.0,-0.050000000001091394,486.6999999999898,auto
2025-08-13T09:02:33.600382+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24245.5,24239.6,5.900000000001455,5.0,15.0,2.9500000000007276,489.64999999999054,auto
2025-08-13T09:02:34.849377+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24245.3,24239.6,5.700000000000728,5.0,15.0,2.850000000000364,492.4999999999909,auto
2025-08-13T09:02:35.650782+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24245.6,24239.6,6.0,5.0,15.0,3.0,495.4999999999909,auto
2025-08-13T09:02:36.474169+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24245.5,24239.6,5.900000000001455,5.0,15.0,2.9500000000007276,498.44999999999163,auto
2025-08-13T09:02:37.276798+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24245.5,24239.6,5.900000000001455,5.0,15.0,2.9500000000007276,501.39999999999236,auto
2025-08-13T09:02:38.037486+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24239.6,24239.6,0.0,5.0,15.0,0.0,501.39999999999236,auto
2025-08-13T09:02:38.900493+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24245.7,24239.6,6.100000000002183,5.0,15.0,3.0500000000010914,504.44999999999345,auto
2025-08-13T09:02:39.744785+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24245.7,24239.6,6.100000000002183,5.0,15.0,3.0500000000010914,507.49999999999454,auto
2025-08-13T09:02:40.574770+00:00,IX.D.DAX.IFMM.IP,SELL,0.5,EUR,24245.7,24239.6,6.100000000002183,5.0,15.0,3.0500000000010914,510.54999999999563,auto
